menu,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,49.568905733000065,None,space,7.546658793000461,49.568905733000065,None,,,,,,,,,,,,,5,001,2021_Dec_20_1053,bulwiaste,2021.2.3,164.5221154074295,
pieczone,0,0,0,1,,,,,,,57.19001975399988,None,5,3.764612266999393,57.19001975399988,None,57.19001975399988,None,60.938493839999865,None,,,5,001,2021_Dec_20_1053,bulwiaste,2021.2.3,164.5221154074295,
gotowane,0,1,1,2,,,,,,,61.46326615699945,None,2.9833333333333334,2.28290293200007,61.46326615699945,None,61.46326615699945,None,63.747330641999724,None,,,5,001,2021_Dec_20_1053,bulwiaste,2021.2.3,164.5221154074295,
smażone,0,2,2,0,,,,,,,64.26527946699935,None,3.9722222222222223,2.1461616870001308,64.26527946699935,None,64.26527946699935,None,66.41698406599971,None,,,5,001,2021_Dec_20_1053,bulwiaste,2021.2.3,164.5221154074295,
grillowane,0,3,3,3,,,,,,,66.93919867699879,None,1.011111111111111,4.844107040000381,66.93919867699879,None,66.93919867699879,None,71.78721515600046,None,,,5,001,2021_Dec_20_1053,bulwiaste,2021.2.3,164.5221154074295,
,,,,,,,,,,,,,,,,,,,,,72.29529479699886,None,,,,,,,
