menu,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.063056004999908,None,space,3.812134229000094,11.063056004999908,None,,,,,,,,,,,,,3,001,2021_Dec_20_0851,bulwiaste,2021.2.3,None,
pieczone,0,0,0,1,,,,,,,14.921012453999992,None,1.9833333333333334,3.651971286999924,14.921012453999992,None,14.921012453999992,None,18.566843860000063,None,,,3,001,2021_Dec_20_0851,bulwiaste,2021.2.3,None,
smażone,0,1,1,0,,,,,,,19.083645745000013,None,3.95,0.7114615000000413,19.083645745000013,None,19.083645745000013,None,19.796593566999945,None,,,3,001,2021_Dec_20_0851,bulwiaste,2021.2.3,None,
grillowane,0,2,2,3,,,,,,,20.322014000999843,None,2.9944444444444445,0.676298955999755,20.322014000999843,None,20.322014000999843,None,20.998334235999664,None,,,3,001,2021_Dec_20_0851,bulwiaste,2021.2.3,None,
gotowane,0,3,3,2,,,,,,,21.515088303000084,None,1.0166666666666666,0.9485403400003634,21.515088303000084,None,21.515088303000084,None,22.46839133399999,None,,,3,001,2021_Dec_20_0851,bulwiaste,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,22.97335930899999,None,,,,,,,
