menu,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.228456027999982,None,space,2.3342589059998318,10.228456027999982,None,,,,,,,,,,,,,2,001,2021_Dec_20_0851,bulwiaste,2021.2.3,153.61742223073605,
smażone,0,0,0,0,,,,,,,12.612282542999765,None,2.0055555555555555,10.080069301000094,12.612282542999765,None,12.612282542999765,None,22.68672947899995,None,,,2,001,2021_Dec_20_0851,bulwiaste,2021.2.3,153.61742223073605,
grillowane,0,1,1,3,,,,,,,23.20778036799993,None,3.9833333333333334,0.9190617720000773,23.20778036799993,None,23.20778036799993,None,24.129550990000098,None,,,2,001,2021_Dec_20_0851,bulwiaste,2021.2.3,153.61742223073605,
pieczone,0,2,2,1,,,,,,,24.65114023299975,None,1,0.9090170289996422,24.65114023299975,None,24.65114023299975,None,25.56473084199979,None,,,2,001,2021_Dec_20_0851,bulwiaste,2021.2.3,153.61742223073605,
gotowane,0,3,3,2,,,,,,,26.080650645999867,None,4.933333333333334,0.6752898960003222,26.080650645999867,None,26.080650645999867,None,26.76162953899984,None,,,2,001,2021_Dec_20_0851,bulwiaste,2021.2.3,153.61742223073605,
,,,,,,,,,,,,,,,,,,,,,27.26722336800003,None,,,,,,,
