menu       ,trials.thisRepN ,trials.thisTrialN ,trials.thisN ,trials.thisIndex ,text_3.started     ,text_3.stopped ,key_resp_2.keys ,key_resp_2.rt     ,key_resp_2.started ,key_resp_2.stopped ,text.started       ,text.stopped ,slider.response   ,slider.rt          ,slider.started     ,slider.stopped ,text_5.started     ,text_5.stopped ,text_2.started     ,text_2.stopped ,text_4.started     ,text_4.stopped ,participant ,session ,date             ,expName   ,psychopyVersion ,frameRate          ,
           ,                ,                  ,             ,                 ,21.414239453999926 ,None           ,space           ,4.238365269000042 ,21.414239453999926 ,None               ,                   ,             ,                  ,                   ,                   ,               ,                   ,               ,                   ,               ,                   ,               ,1           ,001     ,2021_Dec_20_0850 ,bulwiaste ,2021.2.3        ,148.47550253668908 ,
gotowane   ,0               ,0                 ,0            ,2                ,                   ,               ,                ,                  ,                   ,                   ,25.70592811000006  ,None         ,4.022222222222222 ,8.415121929000179  ,25.70592811000006  ,None           ,25.70592811000006  ,None           ,34.10944265599983  ,None           ,                   ,               ,1           ,001     ,2021_Dec_20_0850 ,bulwiaste ,2021.2.3        ,148.47550253668908 ,
grillowane ,0               ,1                 ,1            ,3                ,                   ,               ,                ,                  ,                   ,                   ,34.62461626300001  ,None         ,2.05              ,2.044495552999706  ,34.62461626300001  ,None           ,34.62461626300001  ,None           ,36.671342860000095 ,None           ,                   ,               ,1           ,001     ,2021_Dec_20_0850 ,bulwiaste ,2021.2.3        ,148.47550253668908 ,
smażone    ,0               ,2                 ,2            ,0                ,                   ,               ,                ,                  ,                   ,                   ,37.204946482000196 ,None         ,4.983333333333333 ,1.2313752009999916 ,37.204946482000196 ,None           ,37.204946482000196 ,None           ,38.44165790800025  ,None           ,                   ,               ,1           ,001     ,2021_Dec_20_0850 ,bulwiaste ,2021.2.3        ,148.47550253668908 ,
pieczone   ,0               ,3                 ,3            ,1                ,                   ,               ,                ,                  ,                   ,                   ,38.960012876999826 ,None         ,4.0               ,1.6401550660002613 ,38.960012876999826 ,None           ,38.960012876999826 ,None           ,40.607283669000026 ,None           ,                   ,               ,1           ,001     ,2021_Dec_20_0850 ,bulwiaste ,2021.2.3        ,148.47550253668908 ,
           ,                ,                  ,             ,                 ,                   ,               ,                ,                  ,                   ,                   ,                   ,             ,                  ,                   ,                   ,               ,                   ,               ,                   ,               ,41.113964645000124 ,None           ,            ,        ,                 ,          ,                ,                   ,
