menu       ,trials.thisRepN ,trials.thisTrialN ,trials.thisN ,trials.thisIndex ,text_3.started    ,text_3.stopped ,key_resp_2.keys ,key_resp_2.rt      ,key_resp_2.started ,key_resp_2.stopped ,text.started      ,text.stopped ,slider.response    ,slider.rt          ,slider.started    ,slider.stopped ,text_5.started    ,text_5.stopped ,text_2.started    ,text_2.stopped ,text_4.started    ,text_4.stopped ,participant ,session ,date             ,expName   ,psychopyVersion ,frameRate          ,
           ,                ,                  ,             ,                 ,15.83568711100088 ,None           ,space           ,30.177697901999636 ,15.83568711100088  ,None               ,                  ,             ,                   ,                   ,                  ,               ,                  ,               ,                  ,               ,                  ,               ,6           ,001     ,2021_Dec_20_1304 ,bulwiaste ,2021.2.3        ,172.49488056344103 ,
gotowane   ,0               ,0                 ,0            ,2                ,                  ,               ,                ,                   ,                   ,                   ,46.06500932900053 ,None         ,4.016666666666667  ,5.523317024000789  ,46.06500932900053 ,None           ,46.06500932900053 ,None           ,51.58184680600061 ,None           ,                  ,               ,6           ,001     ,2021_Dec_20_1304 ,bulwiaste ,2021.2.3        ,172.49488056344103 ,
smażone    ,0               ,1                 ,1            ,0                ,                  ,               ,                ,                   ,                   ,                   ,52.09973651600012 ,None         ,1                  ,3.095664944999953  ,52.09973651600012 ,None           ,52.09973651600012 ,None           ,55.20175838999967 ,None           ,                  ,               ,6           ,001     ,2021_Dec_20_1304 ,bulwiaste ,2021.2.3        ,172.49488056344103 ,
grillowane ,0               ,2                 ,2            ,3                ,                  ,               ,                ,                   ,                   ,                   ,55.71671264100041 ,None         ,4.988888888888889  ,0.9266599590009719 ,55.71671264100041 ,None           ,55.71671264100041 ,None           ,56.64446696400046 ,None           ,                  ,               ,6           ,001     ,2021_Dec_20_1304 ,bulwiaste ,2021.2.3        ,172.49488056344103 ,
pieczone   ,0               ,3                 ,3            ,1                ,                  ,               ,                ,                   ,                   ,                   ,57.1647279860008  ,None         ,2.9722222222222223 ,1.4041354149994731 ,57.1647279860008  ,None           ,57.1647279860008  ,None           ,58.57439357600015 ,None           ,                  ,               ,6           ,001     ,2021_Dec_20_1304 ,bulwiaste ,2021.2.3        ,172.49488056344103 ,
           ,                ,                  ,             ,                 ,                  ,               ,                ,                   ,                   ,                   ,                  ,             ,                   ,                   ,                  ,               ,                  ,               ,                  ,               ,59.07908524100094 ,None           ,            ,        ,                 ,          ,                ,                   ,
