menu,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,12.174323747000017,None,space,0.8562980899996546,12.174323747000017,None,,,,,,,,,,,,,4,001,2021_Dec_20_0852,bulwiaste,2021.2.3,161.0343429088295,
pieczone,0,0,0,1,,,,,,,13.072375153999928,None,5.0,1.5244481959998666,13.072375153999928,None,13.072375153999928,None,14.592471888000091,None,,,4,001,2021_Dec_20_0852,bulwiaste,2021.2.3,161.0343429088295,
gotowane,0,1,1,2,,,,,,,15.11095285600004,None,4.9944444444444445,0.9435998109997854,15.11095285600004,None,15.11095285600004,None,16.05895691400019,None,,,4,001,2021_Dec_20_0852,bulwiaste,2021.2.3,161.0343429088295,
smażone,0,2,2,0,,,,,,,16.57978797299984,None,5,1.3810172409998813,16.57978797299984,None,16.57978797299984,None,17.966077795000274,None,,,4,001,2021_Dec_20_0852,bulwiaste,2021.2.3,161.0343429088295,
grillowane,0,3,3,3,,,,,,,18.484828601000117,None,4.95,0.5754342449999967,18.484828601000117,None,18.484828601000117,None,19.066765358999874,None,,,4,001,2021_Dec_20_0852,bulwiaste,2021.2.3,161.0343429088295,
,,,,,,,,,,,,,,,,,,,,,19.570039750999968,None,,,,,,,
