2.7591 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
34.1094 	EXP 	slider: autoDraw = False
34.1094 	EXP 	text_5: autoDraw = False
34.1094 	EXP 	text_2: autoDraw = True
34.6027 	EXP 	New trial (rep=0, index=1): OrderedDict([('menu', 'grillowane')])
34.6246 	EXP 	text_2: autoDraw = False
34.6246 	EXP 	slider: markerPos = None
34.6246 	EXP 	slider: markerPos = None
34.6246 	EXP 	slider: rating = None
34.6246 	EXP 	text_5: text = 'grillowane'
34.6246 	EXP 	text: autoDraw = True
34.6246 	EXP 	slider: autoDraw = True
34.6246 	EXP 	text_5: autoDraw = True
36.5985 	DATA 	Mouse: Left button down, pos=(470,68)
36.6195 	EXP 	slider: markerPos = 2.05
36.6303 	EXP 	slider: markerPos = 2.05
36.6443 	EXP 	slider: markerPos = 2.05
36.6481 	DATA 	Mouse:  Left button up, pos=(469,68)
36.6600 	EXP 	slider: markerPos = 2.05
36.6600 	EXP 	slider: rating = 2.05
36.6713 	EXP 	text: autoDraw = False
36.6713 	EXP 	slider: autoDraw = False
36.6713 	EXP 	text_5: autoDraw = False
36.6713 	EXP 	text_2: autoDraw = True
37.1821 	EXP 	New trial (rep=0, index=2): OrderedDict([('menu', 'smażone')])
37.2049 	EXP 	text_2: autoDraw = False
37.2049 	EXP 	slider: markerPos = None
37.2049 	EXP 	slider: markerPos = None
37.2049 	EXP 	slider: rating = None
37.2049 	EXP 	text_5: text = 'smażone'
37.2049 	EXP 	text: autoDraw = True
37.2049 	EXP 	slider: autoDraw = True
37.2049 	EXP 	text_5: autoDraw = True
38.3150 	DATA 	Mouse: Left button down, pos=(997,73)
38.3335 	EXP 	slider: markerPos = 4.983333333333333
38.3462 	EXP 	slider: markerPos = 4.983333333333333
38.3600 	EXP 	slider: markerPos = 4.983333333333333
38.3731 	EXP 	slider: markerPos = 4.983333333333333
38.3855 	EXP 	slider: markerPos = 4.983333333333333
38.4014 	EXP 	slider: markerPos = 4.983333333333333
38.4133 	EXP 	slider: markerPos = 4.983333333333333
38.4169 	DATA 	Mouse:  Left button up, pos=(997,73)
38.4292 	EXP 	slider: markerPos = 4.983333333333333
38.4292 	EXP 	slider: rating = 4.983333333333333
38.4417 	EXP 	text: autoDraw = False
38.4417 	EXP 	slider: autoDraw = False
38.4417 	EXP 	text_5: autoDraw = False
38.4417 	EXP 	text_2: autoDraw = True
38.9394 	EXP 	New trial (rep=0, index=3): OrderedDict([('menu', 'pieczone')])
38.9600 	EXP 	text_2: autoDraw = False
38.9600 	EXP 	slider: markerPos = None
38.9600 	EXP 	slider: markerPos = None
38.9600 	EXP 	slider: rating = None
38.9600 	EXP 	text_5: text = 'pieczone'
38.9600 	EXP 	text: autoDraw = True
38.9600 	EXP 	slider: autoDraw = True
38.9600 	EXP 	text_5: autoDraw = True
40.4978 	DATA 	Mouse: Left button down, pos=(820,69)
40.5186 	EXP 	slider: markerPos = 4.0
40.5290 	EXP 	slider: markerPos = 4.0
40.5419 	EXP 	slider: markerPos = 4.0
40.5555 	EXP 	slider: markerPos = 4.0
40.5689 	EXP 	slider: markerPos = 4.0
40.5804 	EXP 	slider: markerPos = 4.0
40.5831 	DATA 	Mouse:  Left button up, pos=(820,69)
40.5954 	EXP 	slider: markerPos = 4.0
40.5954 	EXP 	slider: rating = 4.0
40.6073 	EXP 	text: autoDraw = False
40.6073 	EXP 	slider: autoDraw = False
40.6073 	EXP 	text_5: autoDraw = False
40.6073 	EXP 	text_2: autoDraw = True
41.1140 	EXP 	text_2: autoDraw = False
41.1140 	EXP 	text_4: autoDraw = True
42.1061 	EXP 	text_4: autoDraw = False
42.6572 	EXP 	window1: mouseVisible = True
